SYMBOL,SECTOR
INDUSTOWER,Communication Services
INFINIUM,Healthcare
INFOBEAN,Technology
INFOLLION,Services
INFOMEDIA,Financial Services
INFRABEES,Financial Services
INFRAIETF,Financial Services
INFY,Technology
INGERRAND,Industrials
INNOVACAP,Healthcare
INNOVANA,Technology
INNOVATIVE,Consumer Cyclical
INOXGREEN,Utilities
INOXINDIA,Industrials
INOXWIND,Industrials
INSECTICID,Basic Materials
INSPIRE,Consumer Cyclical
INSPIRISYS,Technology
INTELLECT,Technology
INTENTECH,Technology
INTLCONV,Industrials
INVENTURE,Financial Services
IOB,Financial Services
IOC,Energy
IOLCP,Healthcare
IONEXCHANG,Industrials
IPCALAB,Healthcare
IPL,Basic Materials
IPSL,Services
IRB,Industrials
IRBINVIT,Services
IRCON,Industrials
IRCTC,Industrials
IRIS,Technology
IRISDOREME,Consumer Cyclical
IRMENERGY,Utilities
ISEC,Financial Services
ISFT,Consumer Cyclical
ISGEC,Industrials
ISHAN,Industrials
ISMTLTD,Basic Materials
ITBEES,Financial Services
ITC,Consumer Defensive
ITDC,Consumer Cyclical
ITDCEM,Industrials
ITETF,Financial Services
ITI,Technology
ITIETF,Financial Services
IVC,Financial Services
IVP,Basic Materials
IVZINGOLD,Financial Services
IVZINNIFTY,Financial Services
IWEL,Industrials
IZMO,Technology
J&KBANK,Financial Services
JAGRAN,Communication Services
JAGSNPHARM,Healthcare
JAIBALAJI,Basic Materials
